,class,day,nswdemand,nswprice,period,transfer,vicdemand,vicprice
199,2,0.0,0.371,0.058,0.745,0.464,0.357,0.004
200,1,0.0,0.478,0.089,0.766,0.406,0.425,0.006
201,1,0.0,0.498,0.089,0.787,0.442,0.445,0.006
202,1,0.0,0.486,0.089,0.809,0.471,0.435,0.006
203,1,0.0,0.465,0.089,0.83,0.532,0.414,0.006
204,1,0.0,0.452,0.089,0.851,0.504,0.407,0.006
205,1,0.0,0.444,0.086,0.872,0.56,0.386,0.006
206,1,0.0,0.416,0.065,0.894,0.551,0.359,0.004
207,1,0.0,0.382,0.063,0.915,0.512,0.335,0.004
208,1,0.0,0.398,0.08,0.936,0.572,0.317,0.005
209,2,0.0,0.383,0.054,0.957,0.501,0.306,0.004
210,1,0.0,0.382,0.085,0.979,0.381,0.393,0.006
211,1,0.0,0.356,0.07,1.0,0.419,0.386,0.005
212,1,0.167,0.34,0.087,0.0,0.494,0.373,0.006
213,1,0.167,0.305,0.068,0.021,0.517,0.343,0.005
214,1,0.167,0.282,0.078,0.043,0.478,0.409,0.005
215,1,0.167,0.25,0.065,0.064,0.496,0.391,0.004
216,1,0.167,0.225,0.063,0.085,0.55,0.359,0.004
217,1,0.167,0.194,0.064,0.106,0.592,0.326,0.004
218,2,0.167,0.17,0.052,0.128,0.628,0.293,0.003
219,2,0.167,0.158,0.05,0.149,0.651,0.264,0.003
220,2,0.167,0.149,0.046,0.17,0.669,0.244,0.003
221,2,0.167,0.157,0.05,0.191,0.696,0.235,0.003
222,2,0.167,0.194,0.057,0.213,0.705,0.245,0.004
223,2,0.167,0.253,0.06,0.234,0.652,0.272,0.004
224,1,0.167,0.358,0.093,0.255,0.597,0.353,0.006
225,1,0.167,0.469,0.094,0.277,0.529,0.433,0.006
226,1,0.167,0.487,0.086,0.298,0.413,0.474,0.006
227,1,0.167,0.544,0.091,0.319,0.298,0.548,0.006
228,1,0.167,0.561,0.095,0.34,0.277,0.594,0.007
229,1,0.167,0.549,0.09,0.362,0.263,0.591,0.006
230,1,0.167,0.582,0.106,0.383,0.265,0.605,0.007
231,1,0.167,0.588,0.104,0.404,0.337,0.593,0.007
232,1,0.167,0.56,0.091,0.426,0.303,0.585,0.006
233,1,0.167,0.536,0.091,0.447,0.281,0.584,0.006
234,1,0.167,0.52,0.09,0.468,0.3,0.576,0.006
235,1,0.167,0.507,0.09,0.489,0.279,0.579,0.006
236,1,0.167,0.498,0.09,0.511,0.263,0.566,0.006
237,1,0.167,0.486,0.09,0.532,0.269,0.559,0.006
238,1,0.167,0.482,0.09,0.553,0.237,0.573,0.006
239,1,0.167,0.475,0.089,0.574,0.254,0.577,0.006
240,1,0.167,0.465,0.089,0.596,0.246,0.573,0.006
241,1,0.167,0.456,0.089,0.617,0.292,0.572,0.006
242,1,0.167,0.451,0.088,0.638,0.303,0.557,0.006
243,1,0.167,0.455,0.089,0.66,0.35,0.556,0.006
244,1,0.167,0.461,0.087,0.681,0.381,0.553,0.006
245,1,0.167,0.481,0.087,0.702,0.336,0.581,0.006
246,1,0.167,0.504,0.088,0.723,0.337,0.605,0.006
247,1,0.167,0.573,0.088,0.745,0.338,0.647,0.006
248,1,0.167,0.645,0.093,0.766,0.397,0.669,0.006
249,1,0.167,0.641,0.092,0.787,0.325,0.665,0.006
250,1,0.167,0.605,0.091,0.809,0.381,0.631,0.006
251,1,0.167,0.58,0.089,0.83,0.405,0.602,0.006
252,1,0.167,0.557,0.089,0.851,0.433,0.562,0.006
253,1,0.167,0.537,0.087,0.872,0.473,0.532,0.006
254,2,0.167,0.5,0.068,0.894,0.481,0.491,0.005
255,2,0.167,0.453,0.043,0.915,0.437,0.455,0.003
256,1,0.167,0.483,0.087,0.936,0.639,0.423,0.006
257,1,0.167,0.488,0.087,0.957,0.615,0.406,0.006
258,1,0.167,0.492,0.091,0.979,0.496,0.501,0.006
259,1,0.167,0.494,0.092,1.0,0.498,0.495,0.006
260,1,0.333,0.485,0.09,0.0,0.547,0.472,0.006
261,1,0.333,0.476,0.098,0.021,0.562,0.445,0.006
262,1,0.333,0.446,0.103,0.043,0.462,0.503,0.007
263,1,0.333,0.402,0.102,0.064,0.491,0.486,0.007
264,1,0.333,0.348,0.089,0.085,0.535,0.441,0.006
265,2,0.333,0.293,0.084,0.106,0.618,0.393,0.006
266,2,0.333,0.246,0.059,0.128,0.68,0.352,0.004
267,2,0.333,0.211,0.054,0.149,0.711,0.326,0.004
268,2,0.333,0.199,0.056,0.17,0.729,0.307,0.003
269,2,0.333,0.197,0.053,0.191,0.762,0.296,0.003
270,2,0.333,0.226,0.056,0.213,0.765,0.307,0.004
271,2,0.333,0.281,0.063,0.234,0.573,0.33,0.004
272,1,0.333,0.387,0.087,0.255,0.546,0.376,0.006
273,1,0.333,0.496,0.105,0.277,0.506,0.48,0.007
274,1,0.333,0.503,0.088,0.298,0.347,0.526,0.006
275,1,0.333,0.562,0.094,0.319,0.314,0.59,0.006
276,1,0.333,0.571,0.096,0.34,0.291,0.62,0.007
277,1,0.333,0.559,0.092,0.362,0.244,0.624,0.006
278,1,0.333,0.584,0.125,0.383,0.306,0.628,0.008
279,1,0.333,0.592,0.102,0.404,0.289,0.621,0.007
280,1,0.333,0.572,0.093,0.426,0.334,0.604,0.006
281,1,0.333,0.55,0.091,0.447,0.353,0.599,0.006
282,1,0.333,0.536,0.092,0.468,0.372,0.588,0.006
283,1,0.333,0.524,0.09,0.489,0.404,0.59,0.006
284,1,0.333,0.517,0.09,0.511,0.437,0.574,0.006
285,1,0.333,0.508,0.09,0.532,0.454,0.573,0.006
286,1,0.333,0.499,0.09,0.553,0.469,0.585,0.006
287,1,0.333,0.479,0.087,0.574,0.462,0.584,0.006
288,2,0.333,0.47,0.077,0.596,0.464,0.574,0.005
289,2,0.333,0.471,0.082,0.617,0.486,0.563,0.005
290,2,0.333,0.467,0.077,0.638,0.49,0.552,0.005
291,2,0.333,0.474,0.071,0.66,0.481,0.541,0.005
292,2,0.333,0.485,0.079,0.681,0.524,0.541,0.005
293,2,0.333,0.502,0.08,0.702,0.517,0.554,0.005
294,2,0.333,0.521,0.076,0.723,0.583,0.579,0.005
295,1,0.333,0.588,0.088,0.745,0.486,0.615,0.006
296,1,0.333,0.63,0.089,0.766,0.408,0.662,0.006
297,1,0.333,0.639,0.089,0.787,0.443,0.684,0.006
298,1,0.333,0.605,0.089,0.809,0.5,0.651,0.006
299,2,0.333,0.563,0.072,0.83,0.476,0.625,0.005
300,2,0.333,0.559,0.082,0.851,0.52,0.6,0.005
301,2,0.333,0.537,0.055,0.872,0.493,0.567,0.004
302,2,0.333,0.493,0.045,0.894,0.465,0.533,0.003
303,2,0.333,0.45,0.042,0.915,0.401,0.492,0.003
304,2,0.333,0.485,0.08,0.936,0.664,0.463,0.005
305,2,0.333,0.494,0.056,0.957,0.682,0.443,0.003
306,1,0.333,0.499,0.087,0.979,0.606,0.542,0.006
307,2,0.333,0.501,0.078,1.0,0.644,0.527,0.005
308,2,0.5,0.485,0.077,0.0,0.646,0.512,0.005
309,2,0.5,0.469,0.076,0.021,0.609,0.48,0.005
310,1,0.5,0.438,0.084,0.043,0.532,0.532,0.006
311,2,0.5,0.386,0.075,0.064,0.55,0.504,0.005
312,2,0.5,0.332,0.051,0.085,0.594,0.464,0.003
313,2,0.5,0.276,0.047,0.106,0.656,0.419,0.003
314,2,0.5,0.23,0.046,0.128,0.659,0.374,0.003
315,2,0.5,0.195,0.044,0.149,0.648,0.343,0.003
316,2,0.5,0.18,0.044,0.17,0.737,0.314,0.003
317,2,0.5,0.179,0.044,0.191,0.761,0.314,0.003
318,2,0.5,0.209,0.037,0.213,0.723,0.324,0.002
319,2,0.5,0.256,0.04,0.234,0.642,0.357,0.003
320,2,0.5,0.365,0.049,0.255,0.585,0.437,0.003
321,2,0.5,0.463,0.051,0.277,0.484,0.526,0.003
322,2,0.5,0.471,0.034,0.298,0.401,0.555,0.002
323,1,0.5,0.524,0.083,0.319,0.421,0.63,0.006
324,1,0.5,0.533,0.088,0.34,0.454,0.66,0.006
325,1,0.5,0.523,0.086,0.362,0.456,0.652,0.006
326,1,0.5,0.56,0.086,0.383,0.474,0.647,0.006
327,1,0.5,0.567,0.084,0.404,0.491,0.631,0.006
328,1,0.5,0.549,0.072,0.426,0.516,0.602,0.005
329,1,0.5,0.532,0.073,0.447,0.536,0.593,0.005
330,1,0.5,0.521,0.083,0.468,0.57,0.584,0.005
331,2,0.5,0.512,0.057,0.489,0.563,0.567,0.004
332,2,0.5,0.504,0.036,0.511,0.472,0.547,0.002
333,2,0.5,0.499,0.042,0.532,0.42,0.536,0.003
334,2,0.5,0.49,0.037,0.553,0.37,0.548,0.002
335,2,0.5,0.482,0.039,0.574,0.387,0.543,0.003
336,2,0.5,0.478,0.04,0.596,0.38,0.539,0.003
337,2,0.5,0.465,0.03,0.617,0.364,0.527,0.002
338,2,0.5,0.453,0.031,0.638,0.35,0.515,0.002
339,2,0.5,0.466,0.038,0.66,0.391,0.508,0.003
340,2,0.5,0.477,0.043,0.681,0.42,0.51,0.003
341,2,0.5,0.49,0.043,0.702,0.425,0.516,0.003
342,2,0.5,0.516,0.042,0.723,0.423,0.54,0.003
343,1,0.5,0.579,0.084,0.745,0.473,0.57,0.006
344,1,0.5,0.631,0.122,0.766,0.535,0.621,0.008
345,1,0.5,0.628,0.122,0.787,0.469,0.652,0.008
346,1,0.5,0.587,0.096,0.809,0.474,0.633,0.007
347,1,0.5,0.556,0.08,0.83,0.452,0.595,0.005
348,2,0.5,0.54,0.047,0.851,0.475,0.552,0.003
349,2,0.5,0.52,0.055,0.872,0.455,0.542,0.004
350,2,0.5,0.479,0.057,0.894,0.441,0.503,0.004
351,2,0.5,0.437,0.043,0.915,0.349,0.465,0.003
352,1,0.5,0.469,0.084,0.936,0.595,0.441,0.006
353,2,0.5,0.484,0.061,0.957,0.567,0.42,0.004
354,1,0.5,0.489,0.089,0.979,0.492,0.522,0.006
355,1,0.5,0.493,0.084,1.0,0.637,0.507,0.006
356,1,0.667,0.475,0.073,0.0,0.661,0.477,0.005
357,1,0.667,0.459,0.069,0.021,0.638,0.454,0.004
358,1,0.667,0.426,0.078,0.043,0.579,0.505,0.005
359,1,0.667,0.375,0.067,0.064,0.622,0.484,0.004
360,2,0.667,0.323,0.048,0.085,0.618,0.432,0.003
361,2,0.667,0.271,0.046,0.106,0.647,0.385,0.003
362,2,0.667,0.227,0.045,0.128,0.673,0.342,0.003
363,2,0.667,0.19,0.042,0.149,0.643,0.313,0.003
364,2,0.667,0.175,0.037,0.17,0.733,0.287,0.002
365,2,0.667,0.179,0.044,0.191,0.766,0.273,0.003
366,2,0.667,0.209,0.039,0.213,0.733,0.289,0.003
367,2,0.667,0.255,0.041,0.234,0.719,0.313,0.003
368,2,0.667,0.363,0.058,0.255,0.625,0.41,0.004
369,1,0.667,0.464,0.072,0.277,0.586,0.486,0.005
370,2,0.667,0.471,0.041,0.298,0.514,0.529,0.003
371,1,0.667,0.531,0.089,0.319,0.482,0.602,0.006
372,1,0.667,0.537,0.086,0.34,0.496,0.64,0.006
373,1,0.667,0.528,0.084,0.362,0.483,0.645,0.006
374,1,0.667,0.565,0.088,0.383,0.517,0.647,0.006
375,1,0.667,0.568,0.085,0.404,0.489,0.638,0.006
376,1,0.667,0.554,0.084,0.426,0.511,0.629,0.006
377,1,0.667,0.534,0.083,0.447,0.516,0.616,0.005
378,1,0.667,0.515,0.087,0.468,0.513,0.609,0.006
379,1,0.667,0.508,0.086,0.489,0.516,0.598,0.006
380,1,0.667,0.496,0.089,0.511,0.418,0.577,0.006
381,1,0.667,0.486,0.091,0.532,0.437,0.56,0.006
382,1,0.667,0.484,0.097,0.553,0.401,0.584,0.007
383,2,0.667,0.475,0.054,0.574,0.363,0.571,0.004
384,2,0.667,0.471,0.057,0.596,0.357,0.566,0.004
385,2,0.667,0.46,0.049,0.617,0.335,0.56,0.003
386,2,0.667,0.453,0.048,0.638,0.37,0.539,0.003
387,2,0.667,0.462,0.046,0.66,0.361,0.535,0.003
388,2,0.667,0.474,0.043,0.681,0.408,0.537,0.003
389,2,0.667,0.495,0.046,0.702,0.392,0.547,0.003
390,1,0.667,0.521,0.072,0.723,0.49,0.568,0.005
391,1,0.667,0.584,0.087,0.745,0.515,0.605,0.006
392,1,0.667,0.611,0.088,0.766,0.457,0.656,0.006
393,1,0.667,0.617,0.089,0.787,0.475,0.662,0.006
394,1,0.667,0.58,0.086,0.809,0.503,0.63,0.006
395,1,0.667,0.552,0.073,0.83,0.554,0.591,0.005
396,1,0.667,0.531,0.076,0.851,0.526,0.571,0.005
397,2,0.667,0.505,0.044,0.872,0.453,0.541,0.003
398,2,0.667,0.463,0.043,0.894,0.406,0.509,0.003
399,2,0.667,0.429,0.043,0.915,0.443,0.469,0.003
400,1,0.667,0.463,0.07,0.936,0.627,0.453,0.005
401,2,0.667,0.477,0.046,0.957,0.552,0.442,0.003
402,1,0.667,0.486,0.096,0.979,0.53,0.536,0.006
403,1,0.667,0.482,0.089,1.0,0.68,0.523,0.006
404,1,0.833,0.467,0.088,0.0,0.666,0.485,0.006
405,1,0.833,0.45,0.072,0.021,0.658,0.444,0.005
406,1,0.833,0.418,0.085,0.043,0.596,0.498,0.005
407,2,0.833,0.361,0.059,0.064,0.618,0.464,0.004
408,2,0.833,0.31,0.048,0.085,0.59,0.412,0.003
409,2,0.833,0.265,0.043,0.106,0.635,0.364,0.003
410,2,0.833,0.221,0.043,0.128,0.692,0.32,0.003
411,2,0.833,0.188,0.037,0.149,0.721,0.294,0.002
412,2,0.833,0.177,0.032,0.17,0.765,0.275,0.002
413,2,0.833,0.173,0.032,0.191,0.768,0.264,0.002
414,2,0.833,0.199,0.034,0.213,0.75,0.284,0.002
415,2,0.833,0.258,0.04,0.234,0.68,0.305,0.003
416,2,0.833,0.353,0.058,0.255,0.633,0.391,0.004
417,1,0.833,0.449,0.068,0.277,0.565,0.466,0.004
418,2,0.833,0.461,0.035,0.298,0.466,0.502,0.002
419,1,0.833,0.525,0.082,0.319,0.441,0.563,0.005
420,1,0.833,0.548,0.085,0.34,0.566,0.596,0.006
421,1,0.833,0.537,0.085,0.362,0.57,0.584,0.006
422,1,0.833,0.577,0.087,0.383,0.558,0.592,0.006
423,1,0.833,0.58,0.087,0.404,0.572,0.572,0.006
424,1,0.833,0.57,0.087,0.426,0.578,0.571,0.006
425,1,0.833,0.554,0.088,0.447,0.543,0.562,0.006
426,1,0.833,0.543,0.09,0.468,0.559,0.566,0.006
427,1,0.833,0.534,0.088,0.489,0.602,0.562,0.006
428,1,0.833,0.531,0.088,0.511,0.586,0.557,0.006
429,1,0.833,0.524,0.088,0.532,0.604,0.547,0.006
430,1,0.833,0.518,0.09,0.553,0.544,0.557,0.006
431,1,0.833,0.512,0.089,0.574,0.542,0.551,0.006
432,1,0.833,0.505,0.09,0.596,0.527,0.541,0.006
433,1,0.833,0.493,0.088,0.617,0.532,0.527,0.006
434,1,0.833,0.497,0.088,0.638,0.586,0.516,0.006
