,day,period,nswprice,nswdemand,vicprice,vicdemand,transfer,class
89,0.833,0.447,0.104,0.545,0.007,0.507,0.493,1
90,0.833,0.468,0.12,0.533,0.008,0.559,0.466,1
91,0.833,0.489,0.136,0.526,0.009,0.562,0.562,1
92,0.833,0.511,0.125,0.514,0.008,0.545,0.561,1
93,0.833,0.532,0.124,0.508,0.008,0.551,0.564,1
94,0.833,0.553,0.121,0.501,0.008,0.551,0.486,1
95,0.833,0.574,0.123,0.496,0.008,0.544,0.495,1
96,0.833,0.596,0.088,0.487,0.006,0.53,0.487,1
97,0.833,0.617,0.088,0.471,0.006,0.523,0.412,1
98,0.833,0.638,0.087,0.471,0.006,0.504,0.454,1
99,0.833,0.66,0.089,0.488,0.006,0.487,0.437,1
100,0.833,0.681,0.09,0.498,0.006,0.469,0.415,1
101,0.833,0.702,0.09,0.505,0.006,0.479,0.434,1
102,0.833,0.723,0.084,0.512,0.006,0.481,0.393,1
103,0.833,0.745,0.089,0.555,0.006,0.52,0.277,1
104,0.833,0.766,0.084,0.569,0.006,0.556,0.251,1
105,0.833,0.787,0.081,0.549,0.006,0.558,0.245,1
106,0.833,0.809,0.075,0.516,0.005,0.532,0.231,2
107,0.833,0.83,0.067,0.485,0.005,0.497,0.217,2
108,0.833,0.851,0.07,0.464,0.005,0.482,0.213,2
109,0.833,0.872,0.052,0.439,0.004,0.462,0.211,2
110,0.833,0.894,0.043,0.404,0.003,0.429,0.256,2
111,0.833,0.915,0.042,0.372,0.003,0.395,0.263,2
112,0.833,0.936,0.079,0.425,0.005,0.389,0.411,1
113,0.833,0.957,0.074,0.454,0.005,0.381,0.403,2
114,0.833,0.979,0.084,0.474,0.006,0.493,0.297,1
115,0.833,1.0,0.082,0.472,0.006,0.479,0.34,1
116,1.0,0.0,0.064,0.439,0.004,0.425,0.369,2
117,1.0,0.021,0.064,0.429,0.004,0.398,0.358,2
118,1.0,0.043,0.077,0.396,0.005,0.439,0.295,2
119,1.0,0.064,0.058,0.327,0.004,0.408,0.361,2
120,1.0,0.085,0.05,0.276,0.003,0.358,0.33,2
121,1.0,0.106,0.042,0.224,0.003,0.306,0.367,2
122,1.0,0.128,0.037,0.174,0.002,0.262,0.356,2
123,1.0,0.149,0.034,0.148,0.002,0.221,0.364,2
124,1.0,0.17,0.042,0.127,0.003,0.205,0.424,2
125,1.0,0.191,0.039,0.118,0.003,0.186,0.44,2
126,1.0,0.213,0.043,0.124,0.003,0.183,0.448,2
127,1.0,0.234,0.043,0.139,0.003,0.191,0.474,2
128,1.0,0.255,0.043,0.165,0.003,0.214,0.394,2
129,1.0,0.277,0.04,0.202,0.003,0.234,0.366,2
130,1.0,0.298,0.049,0.248,0.003,0.229,0.482,2
131,1.0,0.319,0.081,0.324,0.006,0.274,0.491,1
132,1.0,0.34,0.066,0.392,0.004,0.321,0.469,2
133,1.0,0.362,0.089,0.44,0.006,0.348,0.476,1
134,1.0,0.383,0.09,0.492,0.006,0.374,0.458,1
135,1.0,0.404,0.09,0.509,0.006,0.372,0.454,1
136,1.0,0.426,0.09,0.502,0.006,0.362,0.52,1
137,1.0,0.447,0.089,0.481,0.006,0.354,0.484,1
138,1.0,0.468,0.089,0.47,0.006,0.345,0.506,1
139,1.0,0.489,0.091,0.455,0.006,0.34,0.48,1
140,1.0,0.511,0.092,0.443,0.006,0.328,0.493,1
141,1.0,0.532,0.091,0.428,0.006,0.325,0.544,1
142,1.0,0.553,0.1,0.414,0.007,0.328,0.602,1
143,1.0,0.574,0.104,0.389,0.007,0.315,0.612,1
144,1.0,0.596,0.093,0.378,0.006,0.313,0.567,1
145,1.0,0.617,0.09,0.369,0.006,0.312,0.586,1
146,1.0,0.638,0.089,0.369,0.006,0.294,0.621,1
147,1.0,0.66,0.089,0.369,0.006,0.292,0.623,1
148,1.0,0.681,0.089,0.383,0.006,0.288,0.66,1
149,1.0,0.702,0.089,0.406,0.006,0.319,0.58,1
150,1.0,0.723,0.077,0.421,0.005,0.34,0.499,1
151,1.0,0.745,0.087,0.49,0.006,0.383,0.449,1
152,1.0,0.766,0.095,0.535,0.006,0.453,0.354,1
153,1.0,0.787,0.096,0.537,0.007,0.478,0.329,1
154,1.0,0.809,0.089,0.495,0.006,0.46,0.294,1
155,1.0,0.83,0.089,0.461,0.006,0.429,0.363,1
156,1.0,0.851,0.089,0.43,0.006,0.409,0.422,1
157,1.0,0.872,0.089,0.416,0.006,0.394,0.425,1
158,1.0,0.894,0.077,0.395,0.005,0.367,0.449,1
159,1.0,0.915,0.054,0.376,0.004,0.355,0.414,2
160,1.0,0.936,0.086,0.404,0.006,0.346,0.425,1
161,1.0,0.957,0.068,0.401,0.005,0.344,0.433,2
162,1.0,0.979,0.085,0.402,0.006,0.423,0.354,1
163,1.0,1.0,0.07,0.377,0.005,0.423,0.339,2
164,0.0,0.0,0.085,0.346,0.006,0.415,0.366,1
165,0.0,0.021,0.061,0.309,0.004,0.388,0.368,2
166,0.0,0.043,0.087,0.268,0.006,0.441,0.31,1
167,0.0,0.064,0.078,0.23,0.005,0.409,0.351,1
168,0.0,0.085,0.063,0.193,0.004,0.369,0.402,2
169,0.0,0.106,0.048,0.153,0.003,0.323,0.49,2
170,0.0,0.128,0.047,0.131,0.003,0.28,0.557,2
171,0.0,0.149,0.044,0.107,0.003,0.25,0.548,2
172,0.0,0.17,0.029,0.094,0.002,0.22,0.545,2
173,0.0,0.191,0.031,0.091,0.002,0.193,0.558,2
174,0.0,0.213,0.031,0.094,0.002,0.177,0.574,2
175,0.0,0.234,0.031,0.105,0.002,0.17,0.582,2
176,0.0,0.255,0.03,0.122,0.002,0.169,0.52,2
177,0.0,0.277,0.031,0.153,0.002,0.171,0.579,2
178,0.0,0.298,0.041,0.195,0.003,0.149,0.642,2
179,0.0,0.319,0.049,0.264,0.003,0.181,0.645,2
180,0.0,0.34,0.05,0.32,0.003,0.22,0.599,2
181,0.0,0.362,0.063,0.371,0.004,0.255,0.647,2
182,0.0,0.383,0.087,0.41,0.006,0.275,0.619,1
183,0.0,0.404,0.079,0.429,0.005,0.292,0.678,1
184,0.0,0.426,0.072,0.422,0.005,0.294,0.625,2
185,0.0,0.447,0.065,0.4,0.004,0.297,0.605,2
186,0.0,0.468,0.065,0.378,0.004,0.288,0.602,2
187,0.0,0.489,0.089,0.355,0.006,0.29,0.601,1
188,0.0,0.511,0.075,0.336,0.005,0.283,0.62,1
189,0.0,0.532,0.071,0.307,0.005,0.285,0.573,2
190,0.0,0.553,0.061,0.285,0.004,0.289,0.54,2
191,0.0,0.574,0.056,0.262,0.004,0.282,0.559,2
192,0.0,0.596,0.052,0.245,0.003,0.271,0.573,2
193,0.0,0.617,0.051,0.234,0.003,0.261,0.583,2
194,0.0,0.638,0.053,0.235,0.004,0.259,0.576,2
195,0.0,0.66,0.057,0.233,0.004,0.26,0.584,2
196,0.0,0.681,0.05,0.248,0.003,0.263,0.573,2
197,0.0,0.702,0.05,0.269,0.003,0.28,0.55,2
198,0.0,0.723,0.052,0.289,0.003,0.309,0.546,2
199,0.0,0.745,0.058,0.371,0.004,0.357,0.464,2
200,0.0,0.766,0.089,0.478,0.006,0.425,0.406,1
201,0.0,0.787,0.089,0.498,0.006,0.445,0.442,1
202,0.0,0.809,0.089,0.486,0.006,0.435,0.471,1
203,0.0,0.83,0.089,0.465,0.006,0.414,0.532,1
204,0.0,0.851,0.089,0.452,0.006,0.407,0.504,1
205,0.0,0.872,0.086,0.444,0.006,0.386,0.56,1
206,0.0,0.894,0.065,0.416,0.004,0.359,0.551,1
207,0.0,0.915,0.063,0.382,0.004,0.335,0.512,1
208,0.0,0.936,0.08,0.398,0.005,0.317,0.572,1
209,0.0,0.957,0.054,0.383,0.004,0.306,0.501,2
210,0.0,0.979,0.085,0.382,0.006,0.393,0.381,1
211,0.0,1.0,0.07,0.356,0.005,0.386,0.419,1
212,0.167,0.0,0.087,0.34,0.006,0.373,0.494,1
213,0.167,0.021,0.068,0.305,0.005,0.343,0.517,1
214,0.167,0.043,0.078,0.282,0.005,0.409,0.478,1
215,0.167,0.064,0.065,0.25,0.004,0.391,0.496,1
216,0.167,0.085,0.063,0.225,0.004,0.359,0.55,1
217,0.167,0.106,0.064,0.194,0.004,0.326,0.592,1
218,0.167,0.128,0.052,0.17,0.003,0.293,0.628,2
219,0.167,0.149,0.05,0.158,0.003,0.264,0.651,2
220,0.167,0.17,0.046,0.149,0.003,0.244,0.669,2
221,0.167,0.191,0.05,0.157,0.003,0.235,0.696,2
222,0.167,0.213,0.057,0.194,0.004,0.245,0.705,2
223,0.167,0.234,0.06,0.253,0.004,0.272,0.652,2
224,0.167,0.255,0.093,0.358,0.006,0.353,0.597,1
225,0.167,0.277,0.094,0.469,0.006,0.433,0.529,1
226,0.167,0.298,0.086,0.487,0.006,0.474,0.413,1
227,0.167,0.319,0.091,0.544,0.006,0.548,0.298,1
228,0.167,0.34,0.095,0.561,0.007,0.594,0.277,1
229,0.167,0.362,0.09,0.549,0.006,0.591,0.263,1
230,0.167,0.383,0.106,0.582,0.007,0.605,0.265,1
231,0.167,0.404,0.104,0.588,0.007,0.593,0.337,1
232,0.167,0.426,0.091,0.56,0.006,0.585,0.303,1
233,0.167,0.447,0.091,0.536,0.006,0.584,0.281,1
234,0.167,0.468,0.09,0.52,0.006,0.576,0.3,1
235,0.167,0.489,0.09,0.507,0.006,0.579,0.279,1
236,0.167,0.511,0.09,0.498,0.006,0.566,0.263,1
237,0.167,0.532,0.09,0.486,0.006,0.559,0.269,1
238,0.167,0.553,0.09,0.482,0.006,0.573,0.237,1
239,0.167,0.574,0.089,0.475,0.006,0.577,0.254,1
240,0.167,0.596,0.089,0.465,0.006,0.573,0.246,1
241,0.167,0.617,0.089,0.456,0.006,0.572,0.292,1
242,0.167,0.638,0.088,0.451,0.006,0.557,0.303,1
243,0.167,0.66,0.089,0.455,0.006,0.556,0.35,1
244,0.167,0.681,0.087,0.461,0.006,0.553,0.381,1
245,0.167,0.702,0.087,0.481,0.006,0.581,0.336,1
246,0.167,0.723,0.088,0.504,0.006,0.605,0.337,1
247,0.167,0.745,0.088,0.573,0.006,0.647,0.338,1
248,0.167,0.766,0.093,0.645,0.006,0.669,0.397,1
249,0.167,0.787,0.092,0.641,0.006,0.665,0.325,1
250,0.167,0.809,0.091,0.605,0.006,0.631,0.381,1
251,0.167,0.83,0.089,0.58,0.006,0.602,0.405,1
252,0.167,0.851,0.089,0.557,0.006,0.562,0.433,1
253,0.167,0.872,0.087,0.537,0.006,0.532,0.473,1
254,0.167,0.894,0.068,0.5,0.005,0.491,0.481,2
255,0.167,0.915,0.043,0.453,0.003,0.455,0.437,2
256,0.167,0.936,0.087,0.483,0.006,0.423,0.639,1
257,0.167,0.957,0.087,0.488,0.006,0.406,0.615,1
258,0.167,0.979,0.091,0.492,0.006,0.501,0.496,1
259,0.167,1.0,0.092,0.494,0.006,0.495,0.498,1
260,0.333,0.0,0.09,0.485,0.006,0.472,0.547,1
261,0.333,0.021,0.098,0.476,0.006,0.445,0.562,1
262,0.333,0.043,0.103,0.446,0.007,0.503,0.462,1
263,0.333,0.064,0.102,0.402,0.007,0.486,0.491,1
264,0.333,0.085,0.089,0.348,0.006,0.441,0.535,1
265,0.333,0.106,0.084,0.293,0.006,0.393,0.618,2
266,0.333,0.128,0.059,0.246,0.004,0.352,0.68,2
267,0.333,0.149,0.054,0.211,0.004,0.326,0.711,2
268,0.333,0.17,0.056,0.199,0.003,0.307,0.729,2
269,0.333,0.191,0.053,0.197,0.003,0.296,0.762,2
270,0.333,0.213,0.056,0.226,0.004,0.307,0.765,2
271,0.333,0.234,0.063,0.281,0.004,0.33,0.573,2
272,0.333,0.255,0.087,0.387,0.006,0.376,0.546,1
273,0.333,0.277,0.105,0.496,0.007,0.48,0.506,1
274,0.333,0.298,0.088,0.503,0.006,0.526,0.347,1
275,0.333,0.319,0.094,0.562,0.006,0.59,0.314,1
276,0.333,0.34,0.096,0.571,0.007,0.62,0.291,1
277,0.333,0.362,0.092,0.559,0.006,0.624,0.244,1
278,0.333,0.383,0.125,0.584,0.008,0.628,0.306,1
279,0.333,0.404,0.102,0.592,0.007,0.621,0.289,1
280,0.333,0.426,0.093,0.572,0.006,0.604,0.334,1
281,0.333,0.447,0.091,0.55,0.006,0.599,0.353,1
282,0.333,0.468,0.092,0.536,0.006,0.588,0.372,1
283,0.333,0.489,0.09,0.524,0.006,0.59,0.404,1
284,0.333,0.511,0.09,0.517,0.006,0.574,0.437,1
285,0.333,0.532,0.09,0.508,0.006,0.573,0.454,1
286,0.333,0.553,0.09,0.499,0.006,0.585,0.469,1
287,0.333,0.574,0.087,0.479,0.006,0.584,0.462,1
288,0.333,0.596,0.077,0.47,0.005,0.574,0.464,2
289,0.333,0.617,0.082,0.471,0.005,0.563,0.486,2
290,0.333,0.638,0.077,0.467,0.005,0.552,0.49,2
291,0.333,0.66,0.071,0.474,0.005,0.541,0.481,2
292,0.333,0.681,0.079,0.485,0.005,0.541,0.524,2
293,0.333,0.702,0.08,0.502,0.005,0.554,0.517,2
294,0.333,0.723,0.076,0.521,0.005,0.579,0.583,2
295,0.333,0.745,0.088,0.588,0.006,0.615,0.486,1
296,0.333,0.766,0.089,0.63,0.006,0.662,0.408,1
297,0.333,0.787,0.089,0.639,0.006,0.684,0.443,1
298,0.333,0.809,0.089,0.605,0.006,0.651,0.5,1
299,0.333,0.83,0.072,0.563,0.005,0.625,0.476,2
300,0.333,0.851,0.082,0.559,0.005,0.6,0.52,2
301,0.333,0.872,0.055,0.537,0.004,0.567,0.493,2
302,0.333,0.894,0.045,0.493,0.003,0.533,0.465,2
303,0.333,0.915,0.042,0.45,0.003,0.492,0.401,2
304,0.333,0.936,0.08,0.485,0.005,0.463,0.664,2
305,0.333,0.957,0.056,0.494,0.003,0.443,0.682,2
306,0.333,0.979,0.087,0.499,0.006,0.542,0.606,1
307,0.333,1.0,0.078,0.501,0.005,0.527,0.644,2
308,0.5,0.0,0.077,0.485,0.005,0.512,0.646,2
309,0.5,0.021,0.076,0.469,0.005,0.48,0.609,2
310,0.5,0.043,0.084,0.438,0.006,0.532,0.532,1
311,0.5,0.064,0.075,0.386,0.005,0.504,0.55,2
312,0.5,0.085,0.051,0.332,0.003,0.464,0.594,2
313,0.5,0.106,0.047,0.276,0.003,0.419,0.656,2
314,0.5,0.128,0.046,0.23,0.003,0.374,0.659,2
315,0.5,0.149,0.044,0.195,0.003,0.343,0.648,2
316,0.5,0.17,0.044,0.18,0.003,0.314,0.737,2
317,0.5,0.191,0.044,0.179,0.003,0.314,0.761,2
318,0.5,0.213,0.037,0.209,0.002,0.324,0.723,2
319,0.5,0.234,0.04,0.256,0.003,0.357,0.642,2
320,0.5,0.255,0.049,0.365,0.003,0.437,0.585,2
321,0.5,0.277,0.051,0.463,0.003,0.526,0.484,2
322,0.5,0.298,0.034,0.471,0.002,0.555,0.401,2
323,0.5,0.319,0.083,0.524,0.006,0.63,0.421,1
324,0.5,0.34,0.088,0.533,0.006,0.66,0.454,1
325,0.5,0.362,0.086,0.523,0.006,0.652,0.456,1
326,0.5,0.383,0.086,0.56,0.006,0.647,0.474,1
327,0.5,0.404,0.084,0.567,0.006,0.631,0.491,1
328,0.5,0.426,0.072,0.549,0.005,0.602,0.516,1
329,0.5,0.447,0.073,0.532,0.005,0.593,0.536,1
330,0.5,0.468,0.083,0.521,0.005,0.584,0.57,1
331,0.5,0.489,0.057,0.512,0.004,0.567,0.563,2
332,0.5,0.511,0.036,0.504,0.002,0.547,0.472,2
333,0.5,0.532,0.042,0.499,0.003,0.536,0.42,2
334,0.5,0.553,0.037,0.49,0.002,0.548,0.37,2
335,0.5,0.574,0.039,0.482,0.003,0.543,0.387,2
336,0.5,0.596,0.04,0.478,0.003,0.539,0.38,2
337,0.5,0.617,0.03,0.465,0.002,0.527,0.364,2
338,0.5,0.638,0.031,0.453,0.002,0.515,0.35,2
339,0.5,0.66,0.038,0.466,0.003,0.508,0.391,2
340,0.5,0.681,0.043,0.477,0.003,0.51,0.42,2
341,0.5,0.702,0.043,0.49,0.003,0.516,0.425,2
342,0.5,0.723,0.042,0.516,0.003,0.54,0.423,2
343,0.5,0.745,0.084,0.579,0.006,0.57,0.473,1
344,0.5,0.766,0.122,0.631,0.008,0.621,0.535,1
345,0.5,0.787,0.122,0.628,0.008,0.652,0.469,1
346,0.5,0.809,0.096,0.587,0.007,0.633,0.474,1
347,0.5,0.83,0.08,0.556,0.005,0.595,0.452,1
348,0.5,0.851,0.047,0.54,0.003,0.552,0.475,2
349,0.5,0.872,0.055,0.52,0.004,0.542,0.455,2
350,0.5,0.894,0.057,0.479,0.004,0.503,0.441,2
351,0.5,0.915,0.043,0.437,0.003,0.465,0.349,2
352,0.5,0.936,0.084,0.469,0.006,0.441,0.595,1
353,0.5,0.957,0.061,0.484,0.004,0.42,0.567,2
354,0.5,0.979,0.089,0.489,0.006,0.522,0.492,1
355,0.5,1.0,0.084,0.493,0.006,0.507,0.637,1
356,0.667,0.0,0.073,0.475,0.005,0.477,0.661,1
357,0.667,0.021,0.069,0.459,0.004,0.454,0.638,1
358,0.667,0.043,0.078,0.426,0.005,0.505,0.579,1
359,0.667,0.064,0.067,0.375,0.004,0.484,0.622,1
360,0.667,0.085,0.048,0.323,0.003,0.432,0.618,2
361,0.667,0.106,0.046,0.271,0.003,0.385,0.647,2
362,0.667,0.128,0.045,0.227,0.003,0.342,0.673,2
363,0.667,0.149,0.042,0.19,0.003,0.313,0.643,2
364,0.667,0.17,0.037,0.175,0.002,0.287,0.733,2
365,0.667,0.191,0.044,0.179,0.003,0.273,0.766,2
366,0.667,0.213,0.039,0.209,0.003,0.289,0.733,2
367,0.667,0.234,0.041,0.255,0.003,0.313,0.719,2
368,0.667,0.255,0.058,0.363,0.004,0.41,0.625,2
369,0.667,0.277,0.072,0.464,0.005,0.486,0.586,1
370,0.667,0.298,0.041,0.471,0.003,0.529,0.514,2
371,0.667,0.319,0.089,0.531,0.006,0.602,0.482,1
372,0.667,0.34,0.086,0.537,0.006,0.64,0.496,1
373,0.667,0.362,0.084,0.528,0.006,0.645,0.483,1
374,0.667,0.383,0.088,0.565,0.006,0.647,0.517,1
375,0.667,0.404,0.085,0.568,0.006,0.638,0.489,1
376,0.667,0.426,0.084,0.554,0.006,0.629,0.511,1
377,0.667,0.447,0.083,0.534,0.005,0.616,0.516,1
378,0.667,0.468,0.087,0.515,0.006,0.609,0.513,1
379,0.667,0.489,0.086,0.508,0.006,0.598,0.516,1
380,0.667,0.511,0.089,0.496,0.006,0.577,0.418,1
381,0.667,0.532,0.091,0.486,0.006,0.56,0.437,1
382,0.667,0.553,0.097,0.484,0.007,0.584,0.401,1
383,0.667,0.574,0.054,0.475,0.004,0.571,0.363,2
384,0.667,0.596,0.057,0.471,0.004,0.566,0.357,2
385,0.667,0.617,0.049,0.46,0.003,0.56,0.335,2
386,0.667,0.638,0.048,0.453,0.003,0.539,0.37,2
387,0.667,0.66,0.046,0.462,0.003,0.535,0.361,2
388,0.667,0.681,0.043,0.474,0.003,0.537,0.408,2
389,0.667,0.702,0.046,0.495,0.003,0.547,0.392,2
390,0.667,0.723,0.072,0.521,0.005,0.568,0.49,1
391,0.667,0.745,0.087,0.584,0.006,0.605,0.515,1
392,0.667,0.766,0.088,0.611,0.006,0.656,0.457,1
393,0.667,0.787,0.089,0.617,0.006,0.662,0.475,1
394,0.667,0.809,0.086,0.58,0.006,0.63,0.503,1
395,0.667,0.83,0.073,0.552,0.005,0.591,0.554,1
396,0.667,0.851,0.076,0.531,0.005,0.571,0.526,1
397,0.667,0.872,0.044,0.505,0.003,0.541,0.453,2
398,0.667,0.894,0.043,0.463,0.003,0.509,0.406,2
399,0.667,0.915,0.043,0.429,0.003,0.469,0.443,2
400,0.667,0.936,0.07,0.463,0.005,0.453,0.627,1
401,0.667,0.957,0.046,0.477,0.003,0.442,0.552,2
402,0.667,0.979,0.096,0.486,0.006,0.536,0.53,1
403,0.667,1.0,0.089,0.482,0.006,0.523,0.68,1
404,0.833,0.0,0.088,0.467,0.006,0.485,0.666,1
405,0.833,0.021,0.072,0.45,0.005,0.444,0.658,1
406,0.833,0.043,0.085,0.418,0.005,0.498,0.596,1
407,0.833,0.064,0.059,0.361,0.004,0.464,0.618,2
408,0.833,0.085,0.048,0.31,0.003,0.412,0.59,2
409,0.833,0.106,0.043,0.265,0.003,0.364,0.635,2
410,0.833,0.128,0.043,0.221,0.003,0.32,0.692,2
411,0.833,0.149,0.037,0.188,0.002,0.294,0.721,2
412,0.833,0.17,0.032,0.177,0.002,0.275,0.765,2
413,0.833,0.191,0.032,0.173,0.002,0.264,0.768,2
414,0.833,0.213,0.034,0.199,0.002,0.284,0.75,2
415,0.833,0.234,0.04,0.258,0.003,0.305,0.68,2
416,0.833,0.255,0.058,0.353,0.004,0.391,0.633,2
417,0.833,0.277,0.068,0.449,0.004,0.466,0.565,1
418,0.833,0.298,0.035,0.461,0.002,0.502,0.466,2
419,0.833,0.319,0.082,0.525,0.005,0.563,0.441,1
420,0.833,0.34,0.085,0.548,0.006,0.596,0.566,1
421,0.833,0.362,0.085,0.537,0.006,0.584,0.57,1
422,0.833,0.383,0.087,0.577,0.006,0.592,0.558,1
423,0.833,0.404,0.087,0.58,0.006,0.572,0.572,1
424,0.833,0.426,0.087,0.57,0.006,0.571,0.578,1
425,0.833,0.447,0.088,0.554,0.006,0.562,0.543,1
426,0.833,0.468,0.09,0.543,0.006,0.566,0.559,1
427,0.833,0.489,0.088,0.534,0.006,0.562,0.602,1
428,0.833,0.511,0.088,0.531,0.006,0.557,0.586,1
429,0.833,0.532,0.088,0.524,0.006,0.547,0.604,1
430,0.833,0.553,0.09,0.518,0.006,0.557,0.544,1
431,0.833,0.574,0.089,0.512,0.006,0.551,0.542,1
432,0.833,0.596,0.09,0.505,0.006,0.541,0.527,1
433,0.833,0.617,0.088,0.493,0.006,0.527,0.532,1
434,0.833,0.638,0.088,0.497,0.006,0.516,0.586,1
