,attribute1,attribute2,attribute3,attribute4,attribute5,attribute6,attribute7,attribute8,class
66,0.665,0.647,0.01,0.524,0.211,0.257,0.669,0.665,1
67,0.635,0.674,0.008,0.431,0.211,0.231,0.617,0.686,2
68,0.61,0.677,0.006,0.278,0.176,0.191,0.677,0.601,1
69,0.596,0.652,0.005,0.488,0.355,0.34,0.652,0.639,2
70,0.558,0.582,0.006,0.536,0.125,0.191,0.652,0.523,1
71,0.602,0.61,0.005,0.472,0.33,0.278,0.617,0.647,2
72,0.572,0.634,0.007,0.331,0.219,0.21,0.55,0.58,1
73,0.58,0.594,0.008,0.407,0.237,0.214,0.593,0.59,1
74,0.613,0.63,0.007,0.355,0.366,0.297,0.567,0.676,2
75,0.631,0.692,0.006,0.31,0.391,0.297,0.669,0.665,2
76,0.512,0.567,0.006,0.508,0.495,0.406,0.55,0.561,2
77,0.495,0.541,0.009,0.488,0.437,0.297,0.431,0.571,1
78,0.46,0.517,0.01,0.456,0.362,0.297,0.423,0.523,2
79,0.426,0.449,0.01,0.496,0.308,0.257,0.388,0.485,1
80,0.431,0.447,0.01,0.464,0.032,0.083,0.481,0.418,1
81,0.548,0.509,0.008,0.484,0.093,0.21,0.601,0.515,1
82,0.654,0.561,0.007,0.54,0.161,0.231,0.763,0.561,1
83,0.669,0.611,0.007,0.448,0.269,0.406,0.71,0.601,2
84,0.444,0.411,0.01,0.476,0.197,0.427,0.576,0.448,2
85,0.549,0.488,0.008,0.512,0.344,0.34,0.643,0.494,1
86,0.693,0.653,0.006,0.52,0.33,0.38,0.71,0.686,2
87,0.667,0.689,0.006,0.387,0.179,0.38,0.643,0.705,2
88,0.605,0.728,0.006,0.161,0.211,0.149,0.601,0.62,1
89,0.534,0.669,0.005,0.129,0.416,0.34,0.524,0.571,2
90,0.457,0.589,0.007,0.234,0.312,0.359,0.397,0.523,2
91,0.471,0.603,0.006,0.254,0.237,0.257,0.414,0.553,2
92,0.483,0.589,0.006,0.387,0.491,0.38,0.507,0.534,2
93,0.554,0.573,0.009,0.601,0.204,0.359,0.643,0.504,1
94,0.7,0.677,0.006,0.536,0.373,0.34,0.719,0.705,1
95,0.716,0.664,0.005,0.552,0.427,0.34,0.702,0.705,1
96,0.599,0.643,0.007,0.431,0.269,0.297,0.643,0.647,2
97,0.554,0.623,0.008,0.435,0.272,0.257,0.5,0.62,2
98,0.588,0.682,0.003,0.403,0.631,0.573,0.557,0.62,2
99,0.56,0.612,0.007,0.464,0.366,0.507,0.576,0.571,1
100,0.582,0.666,0.006,0.286,0.194,0.191,0.576,0.628,2
101,0.535,0.601,0.007,0.371,0.337,0.231,0.534,0.58,2
102,0.573,0.571,0.009,0.464,0.183,0.149,0.584,0.542,1
103,0.629,0.563,0.009,0.504,0.129,0.068,0.601,0.639,1
104,0.616,0.572,0.008,0.544,0.244,0.257,0.601,0.628,1
105,0.618,0.597,0.007,0.516,0.154,0.34,0.677,0.601,2
106,0.577,0.689,0.007,0.319,0.366,0.34,0.534,0.62,2
107,0.556,0.546,0.009,0.528,0.247,0.231,0.593,0.534,1
108,0.621,0.613,0.008,0.544,0.172,0.191,0.626,0.62,1
109,0.63,0.695,0.007,0.411,0.186,0.191,0.584,0.695,2
110,0.608,0.702,0.008,0.218,0.19,0.17,0.55,0.676,2
111,0.601,0.656,0.008,0.44,0.219,0.17,0.55,0.657,2
112,0.591,0.612,0.008,0.46,0.136,0.149,0.584,0.553,1
113,0.603,0.694,0.008,0.254,0.226,0.21,0.567,0.639,2
114,0.621,0.725,0.008,0.226,0.165,0.149,0.567,0.686,2
115,0.616,0.692,0.01,0.27,0.093,0.108,0.626,0.59,1
116,0.674,0.725,0.008,0.427,0.247,0.359,0.643,0.714,2
117,0.679,0.791,0.007,0.141,0.315,0.231,0.617,0.751,2
118,0.729,0.823,0.005,0.347,0.344,0.278,0.669,0.781,2
119,0.68,0.776,0.004,0.427,0.197,0.17,0.643,0.733,2
120,0.644,0.737,0.006,0.327,0.362,0.318,0.626,0.686,2
121,0.623,0.699,0.007,0.266,0.161,0.149,0.601,0.665,2
122,0.631,0.717,0.006,0.407,0.254,0.34,0.601,0.665,2
123,0.722,0.767,0.003,0.504,0.405,0.507,0.729,0.743,2
124,0.682,0.691,0.007,0.532,0.495,0.38,0.686,0.695,1
125,0.706,0.689,0.008,0.556,0.215,0.278,0.729,0.665,1
126,0.776,0.835,0.005,0.456,0.201,0.17,0.763,0.791,2
127,0.681,0.675,0.006,0.52,0.444,0.34,0.736,0.676,1
128,0.676,0.643,0.006,0.435,0.287,0.231,0.677,0.686,2
129,0.706,0.661,0.008,0.496,0.161,0.17,0.719,0.665,1
130,0.715,0.683,0.008,0.5,0.258,0.278,0.702,0.733,2
131,0.702,0.663,0.008,0.48,0.165,0.17,0.71,0.665,2
132,0.728,0.803,0.008,0.319,0.19,0.149,0.686,0.762,2
133,0.638,0.712,0.008,0.415,0.337,0.359,0.617,0.676,2
134,0.664,0.691,0.009,0.48,0.276,0.21,0.643,0.705,2
135,0.694,0.713,0.009,0.508,0.136,0.149,0.686,0.665,1
136,0.685,0.736,0.009,0.383,0.262,0.257,0.669,0.733,2
137,0.719,0.807,0.006,0.302,0.369,0.594,0.736,0.751,2
138,0.685,0.757,0.005,0.44,0.473,0.406,0.694,0.724,2
139,0.69,0.722,0.009,0.581,0.204,0.191,0.71,0.676,1
140,0.748,0.744,0.009,0.488,0.115,0.13,0.736,0.724,1
141,0.762,0.796,0.008,0.504,0.197,0.21,0.702,0.791,2
142,0.726,0.825,0.007,0.202,0.104,0.149,0.677,0.781,2
143,0.736,0.822,0.007,0.173,0.125,0.13,0.719,0.743,2
144,0.786,0.833,0.008,0.343,0.168,0.13,0.746,0.791,1
145,0.794,0.869,0.008,0.351,0.24,0.231,0.729,0.847,2
146,0.801,0.885,0.007,0.407,0.215,0.21,0.736,0.867,2
147,0.824,0.891,0.005,0.46,0.258,0.231,0.813,0.837,2
148,0.859,0.884,0.005,0.46,0.258,0.38,0.814,0.858,2
149,0.695,0.769,0.007,0.383,0.412,0.318,0.786,0.695,2
150,0.696,0.802,0.008,0.157,0.276,0.191,0.694,0.743,2
151,0.711,0.762,0.008,0.488,0.348,0.318,0.686,0.705,2
152,0.715,0.713,0.009,0.5,0.247,0.278,0.719,0.705,1
153,0.741,0.695,0.009,0.544,0.165,0.13,0.729,0.695,1
154,0.774,0.762,0.008,0.544,0.161,0.257,0.77,0.743,1
155,0.823,0.829,0.007,0.484,0.305,0.257,0.822,0.81,1
156,0.867,0.88,0.007,0.379,0.362,0.318,0.83,0.867,1
157,0.893,0.893,0.008,0.391,0.369,0.297,0.863,0.905,2
158,0.898,0.894,0.009,0.391,0.28,0.231,0.846,0.877,1
159,0.879,0.854,0.009,0.367,0.265,0.257,0.83,0.858,1
160,0.869,0.833,0.009,0.448,0.233,0.191,0.839,0.858,1
161,0.88,0.855,0.008,0.464,0.24,0.21,0.846,0.877,1
162,0.89,0.851,0.008,0.435,0.179,0.191,0.863,0.867,1
163,0.912,0.906,0.008,0.367,0.186,0.231,0.863,0.905,1
164,0.885,0.878,0.008,0.423,0.262,0.318,0.839,0.877,1
165,0.872,0.855,0.007,0.492,0.269,0.21,0.822,0.886,2
166,0.791,0.859,0.007,0.395,0.28,0.297,0.71,0.847,2
167,0.775,0.88,0.007,0.274,0.344,0.257,0.694,0.828,2
168,0.818,0.893,0.007,0.319,0.24,0.21,0.786,0.847,2
169,0.836,0.894,0.007,0.419,0.194,0.318,0.796,0.837,2
170,0.816,0.83,0.008,0.415,0.287,0.231,0.763,0.837,1
171,0.778,0.721,0.009,0.306,0.315,0.257,0.746,0.781,1
172,0.744,0.718,0.009,0.44,0.183,0.913,0.736,0.714,1
173,0.776,0.756,0.008,0.419,0.215,0.231,0.746,0.772,1
174,0.825,0.846,0.006,0.387,0.333,0.278,0.805,0.837,1
175,0.82,0.875,0.004,0.48,0.254,0.278,0.786,0.828,2
176,0.803,0.868,0.006,0.444,0.287,0.297,0.753,0.819,2
177,0.819,0.797,0.008,0.5,0.222,0.231,0.822,0.781,1
178,0.85,0.836,0.009,0.492,0.226,0.21,0.813,0.837,1
179,0.861,0.88,0.008,0.472,0.254,0.21,0.872,0.858,2
180,0.896,0.886,0.008,0.488,0.204,0.17,0.872,0.896,1
181,0.902,0.89,0.008,0.488,0.215,0.21,0.915,0.886,2
182,0.951,0.962,0.007,0.476,0.158,0.13,0.923,0.933,1
183,0.989,0.946,0.007,0.448,0.219,0.191,0.999,0.952,1
184,0.992,0.955,0.007,0.423,0.229,0.191,0.965,0.963,1
185,0.98,0.982,0.007,0.395,0.28,0.278,0.931,0.963,1
186,0.937,0.983,0.007,0.363,0.233,0.231,0.889,0.933,2
187,0.889,0.94,0.008,0.448,0.19,0.278,0.839,0.886,2
188,0.882,0.792,0.008,0.5,0.222,0.236,0.839,0.847,2
189,0.878,0.799,0.008,0.484,0.151,0.17,0.839,0.847,1
190,0.88,0.859,0.007,0.484,0.226,0.231,0.839,0.886,2
191,0.848,0.875,0.007,0.52,0.226,0.17,0.796,0.886,1
192,0.86,0.871,0.007,0.44,0.197,0.21,0.855,0.847,1
193,0.889,0.921,0.006,0.52,0.194,0.278,0.846,0.886,1
194,0.876,0.915,0.007,0.48,0.14,0.149,0.839,0.886,1
195,0.887,0.94,0.007,0.504,0.183,0.318,0.855,0.867,2
196,0.849,0.949,0.007,0.48,0.168,0.149,0.846,0.877,2
197,0.894,0.902,0.007,0.484,0.151,0.17,0.872,0.858,1
198,0.935,0.911,0.006,0.472,0.312,0.257,0.923,0.923,1
199,0.926,0.851,0.007,0.488,0.154,0.21,0.923,0.858,1
200,0.926,0.896,0.008,0.492,0.229,0.21,0.898,0.886,1
201,0.928,0.943,0.008,0.44,0.323,0.278,0.889,0.923,1
202,0.871,0.922,0.008,0.452,0.237,0.427,0.855,0.837,2
203,0.751,0.81,0.009,0.496,0.219,0.21,0.729,0.791,1
204,0.815,0.897,0.008,0.496,0.154,0.13,0.755,0.858,1
205,0.873,0.961,0.008,0.359,0.208,0.21,0.839,0.896,2
206,0.882,0.941,0.008,0.343,0.183,0.17,0.839,0.886,1
207,0.893,0.921,0.007,0.387,0.168,0.21,0.863,0.886,1
208,0.88,0.905,0.007,0.496,0.215,0.17,0.839,0.896,1
209,0.906,0.953,0.007,0.331,0.287,0.278,0.855,0.905,1
210,0.963,0.972,0.006,0.367,0.308,0.257,0.931,0.944,1
211,0.924,0.922,0.007,0.48,0.208,0.191,0.889,0.952,1
212,0.931,0.947,0.006,0.48,0.254,0.21,0.898,0.944,1
213,0.945,0.929,0.006,0.48,0.283,0.278,0.923,0.923,1
214,0.961,0.942,0.006,0.48,0.312,0.278,0.915,0.923,1
215,0.97,0.937,0.006,0.472,0.319,0.231,0.931,0.952,1
216,0.879,0.909,0.007,0.419,0.262,0.21,0.906,0.877,2
217,0.812,0.88,0.007,0.419,0.19,0.21,0.763,0.858,2
218,0.864,0.946,0.007,0.343,0.226,0.149,0.846,0.905,2
219,0.938,0.979,0.007,0.448,0.269,0.257,0.898,0.952,1
220,0.946,0.963,0.007,0.484,0.337,0.297,0.889,0.944,1
221,0.869,0.842,0.008,0.504,0.305,0.21,0.863,0.877,2
222,0.812,0.789,0.009,0.492,0.111,0.17,0.813,0.791,1
223,0.845,0.857,0.009,0.456,0.129,0.108,0.822,0.858,2
224,0.837,0.89,0.009,0.464,0.201,0.191,0.805,0.877,2
225,0.863,0.94,0.009,0.266,0.244,0.17,0.839,0.905,2
226,0.898,0.903,0.008,0.403,0.276,0.297,0.872,0.877,1
227,0.878,0.877,0.007,0.48,0.276,0.231,0.863,0.847,1
228,0.88,0.9,0.007,0.375,0.176,0.149,0.872,0.867,1
229,0.933,0.951,0.008,0.258,0.215,0.21,0.906,0.923,1
230,0.94,0.951,0.008,0.246,0.247,0.17,0.915,0.923,1
231,0.937,0.926,0.008,0.266,0.247,0.191,0.906,0.923,1
232,0.912,0.909,0.007,0.286,0.28,0.231,0.898,0.923,2
233,0.843,0.864,0.008,0.371,0.208,0.17,0.786,0.877,2
234,0.807,0.835,0.009,0.488,0.215,0.191,0.786,0.81,2
235,0.81,0.852,0.008,0.448,0.265,0.257,0.779,0.847,2
236,0.841,0.902,0.008,0.395,0.179,0.13,0.822,0.837,1
237,0.86,0.9,0.008,0.339,0.186,0.149,0.83,0.858,1
238,0.858,0.911,0.008,0.347,0.194,0.257,0.805,0.867,1
239,0.857,0.935,0.008,0.278,0.211,0.13,0.805,0.905,1
240,0.757,0.793,0.009,0.431,0.409,0.359,0.796,0.762,2
241,0.676,0.696,0.009,0.452,0.208,0.21,0.66,0.714,2
242,0.692,0.683,0.009,0.496,0.118,0.108,0.694,0.676,1
243,0.702,0.674,0.01,0.504,0.129,0.13,0.71,0.665,1
244,0.747,0.739,0.009,0.5,0.226,0.191,0.736,0.743,1
245,0.789,0.828,0.007,0.399,0.194,0.149,0.763,0.828,2
246,0.815,0.814,0.008,0.504,0.129,0.13,0.846,0.781,1
247,0.811,0.748,0.009,0.504,0.154,0.149,0.805,0.791,1
248,0.794,0.766,0.009,0.492,0.244,0.231,0.83,0.772,1
249,0.829,0.848,0.007,0.403,0.315,0.297,0.796,0.819,1
250,0.739,0.7,0.009,0.48,0.237,0.191,0.746,0.714,1
251,0.764,0.733,0.008,0.5,0.272,0.231,0.77,0.781,1
252,0.725,0.794,0.007,0.46,0.355,0.38,0.71,0.751,2
253,0.572,0.647,0.01,0.492,0.254,0.278,0.55,0.601,2
254,0.556,0.599,0.011,0.444,0.308,0.34,0.541,0.609,2
255,0.537,0.505,0.011,0.496,0.233,0.231,0.567,0.523,1
256,0.601,0.565,0.009,0.46,0.38,0.318,0.601,0.62,1
257,0.634,0.653,0.009,0.423,0.197,0.21,0.66,0.647,2
258,0.664,0.648,0.008,0.48,0.125,0.13,0.702,0.609,1
259,0.707,0.665,0.007,0.5,0.143,0.149,0.779,0.647,1
260,0.757,0.766,0.007,0.46,0.172,0.149,0.796,0.714,1
261,0.774,0.801,0.008,0.472,0.24,0.257,0.796,0.751,1
262,0.812,0.898,0.006,0.278,0.355,0.318,0.753,0.858,2
263,0.802,0.866,0.005,0.399,0.441,0.446,0.746,0.8,2
264,0.71,0.737,0.007,0.452,0.258,0.488,0.729,0.695,2
265,0.734,0.807,0.007,0.472,0.183,0.21,0.694,0.781,2
266,0.657,0.695,0.007,0.48,0.136,0.17,0.669,0.657,1
267,0.709,0.679,0.006,0.46,0.344,0.427,0.71,0.724,1
268,0.693,0.724,0.004,0.351,0.351,0.278,0.677,0.743,2
269,0.62,0.691,0.006,0.419,0.477,0.359,0.541,0.686,2
270,0.608,0.636,0.008,0.496,0.226,0.231,0.626,0.601,1
271,0.631,0.668,0.008,0.52,0.147,0.17,0.643,0.665,2
272,0.649,0.686,0.008,0.484,0.147,0.13,0.677,0.628,1
273,0.692,0.687,0.008,0.484,0.14,0.083,0.736,0.657,1
274,0.756,0.738,0.009,0.516,0.222,0.318,0.813,0.714,1
275,0.81,0.786,0.007,0.54,0.305,0.359,0.83,0.772,1
276,0.747,0.699,0.007,0.488,0.473,0.406,0.763,0.751,2
277,0.616,0.559,0.009,0.5,0.462,0.38,0.617,0.639,1
278,0.634,0.604,0.008,0.54,0.104,0.108,0.677,0.62,1
279,0.682,0.623,0.008,0.496,0.276,0.318,0.719,0.657,1
280,0.768,0.679,0.007,0.484,0.287,0.231,0.729,0.772,1
281,0.682,0.656,0.008,0.532,0.197,0.257,0.71,0.639,1
282,0.69,0.681,0.007,0.504,0.348,0.34,0.669,0.733,2
283,0.592,0.558,0.009,0.48,0.563,0.467,0.55,0.639,2
284,0.527,0.54,0.008,0.496,0.28,0.231,0.567,0.504,1
285,0.606,0.573,0.006,0.476,0.219,0.278,0.669,0.59,1
286,0.633,0.649,0.004,0.476,0.416,0.507,0.617,0.59,2
287,0.556,0.564,0.008,0.452,0.502,0.554,0.584,0.571,2
288,0.585,0.58,0.008,0.48,0.115,0.083,0.634,0.571,1
289,0.571,0.628,0.006,0.48,0.093,0.17,0.557,0.571,1
290,0.596,0.644,0.004,0.48,0.459,0.467,0.55,0.628,2
291,0.582,0.525,0.007,0.516,0.509,0.406,0.576,0.601,1
292,0.547,0.513,0.009,0.544,0.172,0.231,0.576,0.553,1
293,0.5,0.578,0.01,0.379,0.398,0.297,0.457,0.553,2
294,0.469,0.585,0.009,0.206,0.244,0.214,0.414,0.553,2
295,0.492,0.603,0.007,0.129,0.28,0.34,0.423,0.571,2
296,0.445,0.458,0.009,0.476,0.556,0.427,0.414,0.485,2
297,0.369,0.373,0.01,0.488,0.452,0.34,0.364,0.399,1
298,0.366,0.389,0.011,0.48,0.194,0.17,0.431,0.352,1
299,0.504,0.558,0.009,0.286,0.376,0.278,0.55,0.534,1
300,0.54,0.614,0.006,0.431,0.197,0.149,0.55,0.561,1
301,0.463,0.509,0.008,0.46,0.419,0.507,0.5,0.494,1
302,0.399,0.439,0.011,0.48,0.201,0.231,0.405,0.438,1
303,0.516,0.52,0.006,0.48,0.398,0.231,0.626,0.504,1
304,0.495,0.549,0.005,0.339,0.47,0.446,0.593,0.438,2
305,0.313,0.362,0.01,0.435,0.455,0.406,0.288,0.343,1
306,0.392,0.463,0.008,0.48,0.211,0.21,0.431,0.408,1
307,0.44,0.508,0.009,0.448,0.154,0.278,0.414,0.476,1
308,0.421,0.511,0.009,0.371,0.136,0.149,0.465,0.438,2
309,0.469,0.577,0.009,0.202,0.233,0.191,0.423,0.534,1
310,0.47,0.576,0.009,0.29,0.208,0.231,0.534,0.476,1
311,0.51,0.591,0.008,0.407,0.358,0.318,0.507,0.561,1
312,0.476,0.561,0.009,0.359,0.219,0.359,0.55,0.476,1
313,0.569,0.603,0.008,0.504,0.258,0.257,0.584,0.58,1
314,0.525,0.521,0.01,0.532,0.29,0.446,0.524,0.494,1
315,0.464,0.432,0.01,0.496,0.323,0.257,0.465,0.485,1
316,0.468,0.475,0.008,0.524,0.305,0.38,0.49,0.504,2
317,0.398,0.417,0.01,0.492,0.376,0.359,0.431,0.457,1
318,0.388,0.401,0.01,0.48,0.262,0.297,0.466,0.399,1
319,0.495,0.535,0.008,0.48,0.176,0.17,0.557,0.485,1
320,0.541,0.585,0.006,0.444,0.154,0.191,0.524,0.523,1
321,0.414,0.5,0.006,0.21,0.685,0.507,0.473,0.408,2
322,0.278,0.357,0.01,0.508,0.265,0.297,0.288,0.304,1
323,0.357,0.418,0.009,0.524,0.251,0.149,0.381,0.399,1
324,0.495,0.523,0.006,0.484,0.179,0.108,0.634,0.485,1
325,0.555,0.595,0.007,0.532,0.147,0.191,0.576,0.534,1
326,0.573,0.604,0.006,0.46,0.244,0.191,0.634,0.571,1
327,0.548,0.566,0.008,0.476,0.276,0.257,0.55,0.542,1
328,0.459,0.453,0.009,0.524,0.276,0.34,0.507,0.457,1
329,0.509,0.409,0.008,0.52,0.513,0.594,0.5,0.515,2
330,0.383,0.436,0.01,0.274,0.151,0.594,0.355,0.438,1
331,0.378,0.498,0.01,0.226,0.247,0.278,0.328,0.457,1
332,0.326,0.439,0.009,0.109,0.616,0.703,0.338,0.257,1
333,0.148,0.194,0.012,0.52,0.491,0.34,0.159,0.199,1
334,0.191,0.273,0.012,0.476,0.122,0.13,0.252,0.21,1
335,0.253,0.305,0.011,0.448,0.312,0.21,0.244,0.296,1
336,0.229,0.314,0.01,0.448,0.262,0.191,0.228,0.296,1
337,0.336,0.461,0.008,0.073,0.312,0.257,0.355,0.371,2
338,0.425,0.547,0.007,0.214,0.158,0.149,0.44,0.429,2
339,0.415,0.522,0.01,0.375,0.129,0.083,0.414,0.438,1
340,0.429,0.531,0.01,0.351,0.215,0.17,0.465,0.467,1
341,0.469,0.547,0.009,0.383,0.229,0.149,0.414,0.542,2
342,0.443,0.527,0.009,0.222,0.362,0.34,0.381,0.523,2
343,0.4,0.496,0.009,0.23,0.491,0.38,0.373,0.476,1
344,0.396,0.457,0.01,0.327,0.183,0.17,0.338,0.476,1
345,0.393,0.472,0.009,0.274,0.143,0.13,0.338,0.467,2
346,0.348,0.427,0.01,0.222,0.254,0.191,0.312,0.418,1
347,0.345,0.43,0.01,0.262,0.276,0.21,0.295,0.429,2
348,0.349,0.449,0.01,0.306,0.276,0.297,0.328,0.39,1
349,0.397,0.47,0.01,0.5,0.301,0.257,0.338,0.485,1
350,0.391,0.463,0.009,0.528,0.308,0.318,0.431,0.408,1
351,0.407,0.441,0.011,0.448,0.323,0.231,0.364,0.467,1
352,0.32,0.404,0.011,0.431,0.172,0.231,0.328,0.352,1
353,0.392,0.463,0.01,0.375,0.294,0.191,0.423,0.448,1
354,0.434,0.537,0.008,0.19,0.258,0.149,0.397,0.504,2
355,0.426,0.545,0.007,0.117,0.172,0.149,0.364,0.515,2
356,0.43,0.528,0.008,0.21,0.176,0.17,0.372,0.515,2
357,0.388,0.486,0.008,0.206,0.38,0.318,0.355,0.457,1
358,0.269,0.363,0.008,0.367,0.29,0.318,0.295,0.285,1
359,0.341,0.442,0.007,0.125,0.401,0.278,0.288,0.408,1
360,0.213,0.306,0.012,0.427,0.301,0.231,0.236,0.266,1
361,0.146,0.209,0.013,0.48,0.233,0.17,0.152,0.21,1
362,0.111,0.178,0.013,0.492,0.201,0.149,0.152,0.124,1
363,0.25,0.334,0.009,0.48,0.244,0.21,0.347,0.257,1
364,0.438,0.516,0.008,0.532,0.262,0.231,0.423,0.448,1
365,0.402,0.526,0.009,0.198,0.226,0.297,0.381,0.429,1
366,0.474,0.559,0.007,0.387,0.441,0.427,0.431,0.534,2
367,0.475,0.545,0.008,0.504,0.104,0.13,0.541,0.485,1
368,0.526,0.568,0.007,0.496,0.147,0.13,0.643,0.476,1
369,0.488,0.548,0.007,0.492,0.229,0.34,0.541,0.494,1
370,0.286,0.363,0.011,0.448,0.362,0.34,0.328,0.304,1
371,0.446,0.542,0.007,0.23,0.351,0.38,0.507,0.438,1
372,0.474,0.605,0.004,0.137,0.24,0.297,0.524,0.494,2
373,0.194,0.271,0.006,0.173,1.0,0.722,0.338,0.199,2
374,0.097,0.141,0.01,0.44,0.548,0.677,0.152,0.151,1
375,0.218,0.288,0.009,0.536,0.308,0.257,0.278,0.257,1
376,0.339,0.433,0.009,0.48,0.265,0.257,0.44,0.352,1
377,0.382,0.458,0.008,0.44,0.427,0.38,0.397,0.381,1
378,0.225,0.299,0.008,0.315,0.38,0.297,0.244,0.296,2
379,0.23,0.318,0.009,0.423,0.226,0.21,0.261,0.276,1
380,0.315,0.385,0.007,0.448,0.448,0.467,0.321,0.362,1
381,0.209,0.317,0.007,0.109,0.602,0.573,0.219,0.276,1
382,0.176,0.228,0.01,0.516,0.412,0.507,0.202,0.191,1
383,0.338,0.389,0.008,0.552,0.412,0.359,0.414,0.285,1
384,0.188,0.231,0.009,0.484,0.548,0.637,0.388,0.18,1
385,0.112,0.194,0.012,0.302,0.384,0.278,0.126,0.172,1
